propertyid,uprn,address,estateid,estatename,blockid,blockname,coreid,corename,propertytype,bedrooms,num_floors,is_higher_risk,buildingregistrationdate,accountableperson,buildingsafetymanager,safetycasereportdate,laststructuralinspectiondate,lastfireriskassessmentdate,firesafety_certificate_date,gas_safety_certificate_date,enforcementnotices,golden_thread,compliance_status,property_age_years,epc_rating,gas_safety_certified,electrical_safety_certified,asbestos_present,asbestos_high_risk,is_void,ownership_type
1,342319992484,"167 Pembridge Road, London",1.0,Estate 1,1.0,Block 1,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,31.0,D,True,True,False,False,False,General Needs Rent
2,566854953850,"2 Ladbroke Grove, London",9.0,Estate 9,15.0,Block 15,28.0,Core 28,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,32.0,F,True,True,False,False,False,Leasehold
3,199223237613,"196 Notting Hill Gate, London",5.0,Estate 5,10.0,Block 10,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,34.0,E,True,True,True,False,False,General Needs Rent
4,150711229823,"155 Notting Hill Gate, London",6.0,Estate 6,11.0,Block 11,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
5,424493543665,"97 Portobello Road, London",9.0,Estate 9,16.0,Block 16,,,House,3,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
6,826046287257,"181 Portobello Road, London",1.0,Estate 1,3.0,Block 3,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,32.0,C,True,True,False,False,False,Leasehold
7,406575307735,"60 Portobello Road, London",1.0,Estate 1,2.0,Block 2,5.0,Core 5,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,B,True,True,False,False,False,Shared Ownership
8,394936156580,"91 Ladbroke Grove, London",9.0,Estate 9,14.0,Block 14,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,33.0,F,True,True,False,False,False,General Needs Rent
9,369419548116,"44 Pembridge Road, London",6.0,Estate 6,11.0,Block 11,20.0,Core 20,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
10,852562516774,"164 Pembridge Road, London",4.0,Estate 4,6.0,Block 6,15.0,Core 15,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,34.0,D,True,True,False,False,False,General Needs Rent
11,393780765787,"9 Notting Hill Gate, London",10.0,Estate 10,17.0,Block 17,34.0,Core 34,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,B,True,True,False,False,False,General Needs Rent
12,605272201394,"128 Westbourne Grove, London",10.0,Estate 10,17.0,Block 17,32.0,Core 32,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,G,True,False,False,False,False,General Needs Rent
13,921467220156,"144 Pembridge Road, London",10.0,Estate 10,17.0,Block 17,34.0,Core 34,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,False,False,False,False,General Needs Rent
14,200903882207,"36 Pembridge Road, London",6.0,Estate 6,11.0,Block 11,20.0,Core 20,House,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,True,True,False,General Needs Rent
15,171281034036,"41 Westbourne Grove, London",8.0,Estate 8,13.0,Block 13,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,32.0,C,True,True,True,False,False,General Needs Rent
16,893195777447,"142 Portobello Road, London",4.0,Estate 4,8.0,Block 8,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,29.0,C,True,False,True,False,False,General Needs Rent
17,578001943304,"88 Portobello Road, London",9.0,Estate 9,14.0,Block 14,,,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,33.0,C,True,True,False,False,True,Leasehold
18,653930041483,"185 Notting Hill Gate, London",4.0,Estate 4,8.0,Block 8,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,29.0,D,True,True,False,False,False,General Needs Rent
19,317363871943,"77 Pembridge Road, London",4.0,Estate 4,7.0,Block 7,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,False,False,False,False,False,General Needs Rent
20,103944899549,"200 Pembridge Road, London",5.0,Estate 5,10.0,Block 10,19.0,Core 19,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,Leasehold
21,161157982007,"93 Notting Hill Gate, London",8.0,Estate 8,13.0,Block 13,25.0,Core 25,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,D,True,True,True,False,False,General Needs Rent
22,937424066816,"125 Portobello Road, London",4.0,Estate 4,8.0,Block 8,17.0,Core 17,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,29.0,C,True,True,False,False,False,General Needs Rent
23,388472023723,"122 Pembridge Road, London",1.0,Estate 1,2.0,Block 2,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,False,False,False,False,False,General Needs Rent
24,442364508902,"139 Ladbroke Grove, London",10.0,Estate 10,17.0,Block 17,32.0,Core 32,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,False,True,True,False,General Needs Rent
25,371102648727,"133 Westbourne Grove, London",9.0,Estate 9,14.0,Block 14,27.0,Core 27,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,33.0,D,True,False,False,False,False,General Needs Rent
26,343045499634,"142 Ladbroke Grove, London",3.0,Estate 3,5.0,Block 5,13.0,Core 13,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,33.0,E,True,True,False,False,False,General Needs Rent
27,662945045779,"9 Notting Hill Gate, London",5.0,Estate 5,9.0,Block 9,18.0,Core 18,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,False,Shared Ownership
28,622165852995,"34 Pembridge Road, London",7.0,Estate 7,12.0,Block 12,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
29,821970820395,"49 Portobello Road, London",4.0,Estate 4,8.0,Block 8,17.0,Core 17,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,29.0,D,True,True,False,False,True,General Needs Rent
30,820151617123,"187 Portobello Road, London",2.0,Estate 2,4.0,Block 4,10.0,Core 10,Block of Flats,1,1.0,False,,,,,,,,,,Not Required,Not Applicable,35.0,B,True,True,False,False,False,General Needs Rent
31,311521368324,"87 Portobello Road, London",4.0,Estate 4,6.0,Block 6,14.0,Core 14,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,D,True,True,False,False,False,General Needs Rent
32,372569912085,"47 Notting Hill Gate, London",5.0,Estate 5,9.0,Block 9,18.0,Core 18,House,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,False,True,False,False,False,General Needs Rent
33,813181846360,"141 Portobello Road, London",9.0,Estate 9,15.0,Block 15,,,Block of Flats,1,2.0,False,,,,,,,,,,Not Required,Not Applicable,32.0,C,False,True,False,False,False,Leasehold
34,634321479802,"61 Ladbroke Grove, London",9.0,Estate 9,16.0,Block 16,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,F,True,True,False,False,True,General Needs Rent
35,389439657508,"43 Westbourne Grove, London",4.0,Estate 4,8.0,Block 8,17.0,Core 17,Block of Flats,4,5.0,False,,,,,,,,,,Not Required,Not Applicable,29.0,G,True,True,False,False,False,General Needs Rent
36,888821730785,"188 Pembridge Road, London",8.0,Estate 8,13.0,Block 13,25.0,Core 25,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,32.0,E,True,True,True,False,False,General Needs Rent
37,695865453957,"15 Pembridge Road, London",5.0,Estate 5,10.0,Block 10,19.0,Core 19,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,True,True,False,General Needs Rent
38,683482989002,"150 Westbourne Grove, London",10.0,Estate 10,17.0,Block 17,,,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,False,Temporary Accommodation
39,839026264592,"18 Pembridge Road, London",2.0,Estate 2,4.0,Block 4,10.0,Core 10,House,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,True,True,False,General Needs Rent
40,755321467395,"146 Ladbroke Grove, London",3.0,Estate 3,5.0,Block 5,12.0,Core 12,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,33.0,D,True,True,False,False,False,General Needs Rent
41,445842718357,"150 Pembridge Road, London",5.0,Estate 5,9.0,Block 9,18.0,Core 18,Block of Flats,2,6.0,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,False,True,False,False,False,General Needs Rent
42,811554491388,"102 Ladbroke Grove, London",1.0,Estate 1,1.0,Block 1,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,31.0,D,True,True,True,False,False,Temporary Accommodation
43,784868121383,"19 Portobello Road, London",9.0,Estate 9,16.0,Block 16,,,Block of Flats,1,2.0,False,,,,,,,,,,Not Required,Not Applicable,34.0,B,True,True,False,False,False,General Needs Rent
44,504776119396,"130 Notting Hill Gate, London",7.0,Estate 7,12.0,Block 12,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,F,True,True,False,False,False,General Needs Rent
45,989003396697,"181 Notting Hill Gate, London",4.0,Estate 4,8.0,Block 8,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,29.0,C,True,True,False,False,False,Leasehold
46,829851334750,"142 Notting Hill Gate, London",6.0,Estate 6,11.0,Block 11,20.0,Core 20,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,Leasehold
47,397020387114,"28 Pembridge Road, London",4.0,Estate 4,8.0,Block 8,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,29.0,C,True,True,False,False,False,General Needs Rent
48,639041627377,"53 Notting Hill Gate, London",2.0,Estate 2,4.0,Block 4,10.0,Core 10,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
49,100189351213,"109 Notting Hill Gate, London",9.0,Estate 9,16.0,Block 16,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,34.0,D,True,True,True,False,False,General Needs Rent
50,588514866975,"68 Ladbroke Grove, London",2.0,Estate 2,4.0,Block 4,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,False,General Needs Rent
51,697640637435,"29 Portobello Road, London",1.0,Estate 1,3.0,Block 3,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,32.0,G,True,True,False,False,False,General Needs Rent
52,143497047298,"38 Westbourne Grove, London",9.0,Estate 9,15.0,Block 15,,,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,E,True,True,False,False,False,General Needs Rent
53,214533606906,"54 Ladbroke Grove, London",5.0,Estate 5,9.0,Block 9,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,F,True,False,False,False,False,General Needs Rent
54,992493718889,"192 Ladbroke Grove, London",9.0,Estate 9,16.0,Block 16,31.0,Core 31,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,F,True,True,False,False,False,General Needs Rent
55,982236590250,"189 Notting Hill Gate, London",9.0,Estate 9,15.0,Block 15,29.0,Core 29,House,2,,False,,,,,,,,,,Not Required,Not Applicable,32.0,D,True,False,False,False,False,General Needs Rent
56,342539766821,"180 Portobello Road, London",1.0,Estate 1,3.0,Block 3,7.0,Core 7,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,32.0,F,True,True,False,False,False,Temporary Accommodation
57,821656143707,"59 Ladbroke Grove, London",4.0,Estate 4,7.0,Block 7,16.0,Core 16,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,False,General Needs Rent
58,805882797681,"18 Notting Hill Gate, London",6.0,Estate 6,11.0,Block 11,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,False,General Needs Rent
59,736422102747,"30 Notting Hill Gate, London",9.0,Estate 9,16.0,Block 16,31.0,Core 31,Block of Flats,3,1.0,False,,,,,,,,,,Not Required,Not Applicable,34.0,B,True,True,False,False,False,General Needs Rent
60,966417503705,"112 Notting Hill Gate, London",9.0,Estate 9,15.0,Block 15,28.0,Core 28,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,C,True,True,False,False,False,Temporary Accommodation
61,148338665100,"148 Ladbroke Grove, London",6.0,Estate 6,11.0,Block 11,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
62,574010721878,"138 Ladbroke Grove, London",10.0,Estate 10,17.0,Block 17,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,False,False,False,False,General Needs Rent
63,655340655504,"170 Portobello Road, London",1.0,Estate 1,1.0,Block 1,3.0,Core 3,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,31.0,E,True,True,False,False,False,General Needs Rent
64,239820136955,"179 Notting Hill Gate, London",1.0,Estate 1,1.0,Block 1,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,31.0,C,True,True,False,False,False,General Needs Rent
65,433156770265,"45 Pembridge Road, London",4.0,Estate 4,8.0,Block 8,17.0,Core 17,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,29.0,C,True,True,False,False,False,General Needs Rent
66,739029968283,"54 Westbourne Grove, London",9.0,Estate 9,14.0,Block 14,27.0,Core 27,House,3,,False,,,,,,,,,,Not Required,Not Applicable,33.0,D,True,True,False,False,False,General Needs Rent
67,621886518414,"114 Ladbroke Grove, London",5.0,Estate 5,9.0,Block 9,,,House,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,False,General Needs Rent
68,798635932470,"73 Pembridge Road, London",1.0,Estate 1,2.0,Block 2,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,True,False,False,Temporary Accommodation
69,442192051776,"193 Ladbroke Grove, London",3.0,Estate 3,5.0,Block 5,12.0,Core 12,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,33.0,C,True,True,False,False,False,General Needs Rent
70,623917015844,"12 Ladbroke Grove, London",8.0,Estate 8,13.0,Block 13,24.0,Core 24,House,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,G,True,True,False,False,False,General Needs Rent
71,886814108140,"162 Pembridge Road, London",1.0,Estate 1,2.0,Block 2,4.0,Core 4,House,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,False,False,False,Leasehold
72,928467665569,"38 Portobello Road, London",4.0,Estate 4,7.0,Block 7,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,True,False,False,General Needs Rent
73,669924601388,"57 Ladbroke Grove, London",1.0,Estate 1,1.0,Block 1,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,31.0,A,True,True,False,False,False,General Needs Rent
74,981040982753,"32 Westbourne Grove, London",3.0,Estate 3,5.0,Block 5,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,33.0,E,True,True,False,False,False,General Needs Rent
75,893774408754,"114 Pembridge Road, London",2.0,Estate 2,4.0,Block 4,,,House,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,False,False,False,False,General Needs Rent
76,275652171321,"141 Westbourne Grove, London",1.0,Estate 1,2.0,Block 2,5.0,Core 5,House,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,True,False,False,Shared Ownership
77,803686852877,"193 Ladbroke Grove, London",6.0,Estate 6,11.0,Block 11,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,True,True,False,Shared Ownership
78,882016836343,"71 Westbourne Grove, London",10.0,Estate 10,17.0,Block 17,33.0,Core 33,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,False,General Needs Rent
79,263803069319,"139 Portobello Road, London",9.0,Estate 9,16.0,Block 16,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
80,462527878842,"17 Westbourne Grove, London",5.0,Estate 5,9.0,Block 9,18.0,Core 18,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,False,False,False,False,Shared Ownership
81,949994808961,"108 Westbourne Grove, London",10.0,Estate 10,17.0,Block 17,,,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,F,True,True,False,False,False,Leasehold
82,625619734196,"196 Pembridge Road, London",5.0,Estate 5,9.0,Block 9,18.0,Core 18,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,False,True,False,False,False,Shared Ownership
83,922650393259,"100 Westbourne Grove, London",9.0,Estate 9,14.0,Block 14,27.0,Core 27,House,2,,False,,,,,,,,,,Not Required,Not Applicable,33.0,C,True,True,False,False,False,General Needs Rent
84,132150587583,"70 Westbourne Grove, London",4.0,Estate 4,6.0,Block 6,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
85,787111968895,"120 Ladbroke Grove, London",5.0,Estate 5,9.0,Block 9,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,False,False,False,False,Leasehold
86,804735188129,"170 Portobello Road, London",10.0,Estate 10,17.0,Block 17,34.0,Core 34,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,True,False,False,General Needs Rent
87,333334202984,"67 Westbourne Grove, London",6.0,Estate 6,11.0,Block 11,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,False,False,False,General Needs Rent
88,563134588274,"98 Notting Hill Gate, London",1.0,Estate 1,3.0,Block 3,7.0,Core 7,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,D,True,True,False,False,False,General Needs Rent
89,486340553307,"192 Pembridge Road, London",10.0,Estate 10,17.0,Block 17,,,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,F,True,False,False,False,False,General Needs Rent
90,133304178029,"167 Portobello Road, London",4.0,Estate 4,8.0,Block 8,,,Block of Flats,2,1.0,False,,,,,,,,,,Not Required,Not Applicable,29.0,D,True,True,False,False,False,General Needs Rent
91,836473336882,"62 Ladbroke Grove, London",5.0,Estate 5,10.0,Block 10,19.0,Core 19,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,False,False,False,False,General Needs Rent
92,766440579767,"66 Notting Hill Gate, London",8.0,Estate 8,13.0,Block 13,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,E,True,True,False,False,False,Temporary Accommodation
93,736119440405,"42 Notting Hill Gate, London",9.0,Estate 9,16.0,Block 16,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,34.0,E,True,True,True,True,False,General Needs Rent
94,890022600581,"97 Westbourne Grove, London",10.0,Estate 10,17.0,Block 17,33.0,Core 33,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,True,False,False,Leasehold
95,855271258456,"198 Notting Hill Gate, London",8.0,Estate 8,13.0,Block 13,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,E,True,True,False,False,False,General Needs Rent
96,685606781064,"145 Portobello Road, London",4.0,Estate 4,8.0,Block 8,17.0,Core 17,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,29.0,D,True,True,False,False,False,General Needs Rent
97,218069517293,"166 Notting Hill Gate, London",3.0,Estate 3,5.0,Block 5,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,33.0,D,True,True,False,False,False,Temporary Accommodation
98,295143931370,"118 Ladbroke Grove, London",9.0,Estate 9,15.0,Block 15,,,House,3,,False,,,,,,,,,,Not Required,Not Applicable,32.0,D,True,True,True,False,False,General Needs Rent
99,578737987515,"138 Westbourne Grove, London",9.0,Estate 9,14.0,Block 14,27.0,Core 27,House,3,,False,,,,,,,,,,Not Required,Not Applicable,33.0,B,True,True,True,False,False,General Needs Rent
100,368224152205,"63 Portobello Road, London",5.0,Estate 5,10.0,Block 10,19.0,Core 19,House,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
101,633356940935,"127 Notting Hill Gate, London",6.0,Estate 6,11.0,Block 11,20.0,Core 20,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,B,True,True,True,False,False,General Needs Rent
102,110977038883,"153 Notting Hill Gate, London",10.0,Estate 10,17.0,Block 17,32.0,Core 32,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,False,False,False,False,Leasehold
103,711983781912,"185 Westbourne Grove, London",9.0,Estate 9,15.0,Block 15,,,House,4,,False,,,,,,,,,,Not Required,Not Applicable,32.0,C,True,True,False,False,False,Shared Ownership
104,120585489939,"126 Westbourne Grove, London",2.0,Estate 2,4.0,Block 4,10.0,Core 10,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,False,False,False,False,General Needs Rent
105,738506846386,"63 Notting Hill Gate, London",3.0,Estate 3,5.0,Block 5,11.0,Core 11,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,33.0,F,True,False,True,False,True,General Needs Rent
106,487967794459,"191 Pembridge Road, London",5.0,Estate 5,10.0,Block 10,19.0,Core 19,House,3,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
107,313551290143,"60 Portobello Road, London",9.0,Estate 9,16.0,Block 16,31.0,Core 31,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,34.0,D,True,True,True,False,True,Leasehold
108,895756506622,"190 Westbourne Grove, London",6.0,Estate 6,11.0,Block 11,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,False,False,False,General Needs Rent
109,496114023998,"50 Notting Hill Gate, London",9.0,Estate 9,16.0,Block 16,,,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
110,705824576198,"33 Notting Hill Gate, London",9.0,Estate 9,16.0,Block 16,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
111,727117904706,"193 Westbourne Grove, London",4.0,Estate 4,8.0,Block 8,17.0,Core 17,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,29.0,C,True,True,False,False,False,General Needs Rent
112,627687082060,"48 Portobello Road, London",5.0,Estate 5,9.0,Block 9,18.0,Core 18,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,C,True,True,False,False,True,General Needs Rent
113,854322725516,"19 Pembridge Road, London",1.0,Estate 1,3.0,Block 3,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,32.0,F,True,True,False,False,False,Leasehold
114,374851785492,"78 Portobello Road, London",4.0,Estate 4,6.0,Block 6,,,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,E,True,True,False,False,False,General Needs Rent
115,674562228753,"159 Ladbroke Grove, London",5.0,Estate 5,9.0,Block 9,18.0,Core 18,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
116,724081856069,"151 Westbourne Grove, London",5.0,Estate 5,10.0,Block 10,,,House,1,,False,,,,,,,,,,Not Required,Not Applicable,34.0,F,True,True,False,False,False,Shared Ownership
117,826986119473,"54 Ladbroke Grove, London",4.0,Estate 4,7.0,Block 7,16.0,Core 16,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,False,False,False,Leasehold
118,546688090938,"20 Ladbroke Grove, London",5.0,Estate 5,10.0,Block 10,19.0,Core 19,Flat,4,,False,,,,,,,,,,Not Required,Not Applicable,34.0,C,True,True,False,False,False,General Needs Rent
119,412273997497,"60 Notting Hill Gate, London",6.0,Estate 6,11.0,Block 11,20.0,Core 20,House,4,,False,,,,,,,,,,Not Required,Not Applicable,35.0,F,True,True,False,False,False,General Needs Rent
120,970967089400,"60 Notting Hill Gate, London",4.0,Estate 4,7.0,Block 7,16.0,Core 16,House,2,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
121,265990327202,"140 Ladbroke Grove, London",1.0,Estate 1,2.0,Block 2,6.0,Core 6,Block of Flats,2,2.0,False,,,,,,,,,,Not Required,Not Applicable,35.0,E,True,True,False,False,False,General Needs Rent
122,582275910205,"79 Pembridge Road, London",9.0,Estate 9,14.0,Block 14,,,Flat,3,,False,,,,,,,,,,Not Required,Not Applicable,33.0,F,True,False,True,False,False,General Needs Rent
123,643485082462,"70 Pembridge Road, London",9.0,Estate 9,15.0,Block 15,,,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,32.0,C,True,True,False,False,False,General Needs Rent
124,377470837308,"189 Notting Hill Gate, London",8.0,Estate 8,13.0,Block 13,,,Flat,2,,False,,,,,,,,,,Not Required,Not Applicable,32.0,C,True,True,False,False,False,General Needs Rent
125,125558432468,"148 Pembridge Road, London",3.0,Estate 3,5.0,Block 5,11.0,Core 11,Block of Flats,3,10.0,True,,John Smith 125,Sarah Johnson 125,,,,,,Notice 1,Complete,Non-compliant,33.0,C,True,True,True,False,False,Leasehold
126,996079577156,"150 Westbourne Grove, London",1.0,Estate 1,2.0,Block 2,4.0,Core 4,Flat,1,,False,,,,,,,,,,Not Required,Not Applicable,35.0,D,True,True,False,False,False,General Needs Rent
